,0
1551,1.39
1552,1.31
1553,-2.6
1554,1.24
1555,0.94
1556,-1.79
1557,0.56
1558,0.19
1559,-0.97
1560,0.67
1561,-0.26
1562,-0.46
1563,0.42
1564,-0.07
1565,-0.27
1566,0.23
1567,0.13
1568,-0.26
1569,0.33
1570,0.32
1571,-0.12
1572,-0.06
1573,0.44
1574,-0.51
1575,-0.11
1576,0.25
1577,-0.86
1578,-0.31
1579,-0.28
1580,-1.27
1581,-0.58
1582,-0.61
1583,-1.03
1584,0.11
1585,-1.04
1586,-0.95
1587,0.61
1588,-1.08
1589,-1.36
1590,0.05
1591,-1.1
1592,-1.83
1593,0.45
1594,-0.84
1595,-1.7
1596,0.85
1597,-0.42
1598,-1.08
1599,0.4
1600,0.43
1601,0.52
1602,0.5
1603,1.27
1604,1.69
1605,-0.86
1606,1.06
1607,0.67
1608,-5.02
1609,-0.56
1610,1.34
1611,-1.99
1612,0.46
1613,-1.47
1614,0.14
1615,1.24
1616,-2.98
1617,3.75
1618,-1.18
1619,-3.27
1620,2.03
1621,-1.03
1622,-0.6
1623,0.64
1624,0.37
1625,3.0
1626,-0.01
1627,1.39
1628,4.13
1629,-3.7
1630,-0.19
1631,1.49
1632,-3.24
1633,-0.1
1634,-1.13
1635,-0.07
1636,0.56
1637,-2.31
1638,1.93
1639,-0.64
1640,-3.09
1641,1.93
1642,-1.24
1643,-1.84
1644,1.05
1645,0.14
1646,0.84
1647,0.4
1648,1.35
1649,3.39
1650,-2.81
1651,1.01
1652,2.48
1653,-2.83
1654,-0.1
1655,0.33
1656,-1.03
1657,0.32
1658,-2.04
1659,0.55
1660,0.2
1661,-2.74
1662,0.7
1663,-1.33
1664,-3.02
1665,1.57
1666,-1.25
1667,-1.91
1668,0.43
1669,0.11
1670,2.1
1671,1.41
1672,2.38
1673,3.06
1674,-2.29
1675,1.17
1676,2.52
1677,-4.34
1678,-0.21
1679,1.4
1680,-0.75
1681,0.28
1682,-0.94
1683,0.43
1684,0.26
1685,-2.03
1686,2.53
1687,-0.97
1688,-2.89
1689,1.73
1690,-0.6
1691,-2.52
1692,0.63
1693,0.05
1694,-1.27
1695,-0.32
1696,1.47
1697,-0.03
1698,-0.25
1699,2.58
1700,2.02
1701,-1.97
1702,1.82
1703,3.17
1704,-1.17
1705,0.48
1706,2.21
1707,0.69
1708,1.22
1709,0.04
1710,0.51
1711,0.95
1712,-2.84
1713,4.85
1714,-0.84
1715,-2.03
1716,1.04
1717,0.09
1718,-0.68
1719,0.52
1720,0.21
1721,1.81
1722,-0.29
1723,0.68
1724,2.66
1725,-0.71
1726,0.71
1727,1.22
1728,0.09
1729,0.67
1730,-1.65
1731,0.35
1732,0.11
1733,-1.18
1734,1.99
1735,0.16
1736,-2.96
1737,0.84
1738,-0.85
1739,-1.3
1740,0.42
1741,0.19
1742,1.14
1743,1.0
1744,1.19
1745,1.78
1746,0.36
1747,0.61
1748,1.74
1749,0.21
1750,0.4
1751,0.23
1752,1.44
1753,0.63
